date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:44:06	154076/154076	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2012%20Apr%202023%2017:33:05%20GMT	https://maintdapp.com/dex/assets/fonts/Poppins-Boldd41d.eot	C:/My%20Web%20Sites/best%20wallet%20drainer%202/maintdapp.com/dex/assets/fonts/Poppins-Boldd41d.eot	(from https://maintdapp.com/dex/assets/fonts/fonts.css)
16:44:10	50620/50620	---M--	200	added ('OK')	font/woff	date:Wed,%2012%20Apr%202023%2017:33:05%20GMT	https://maintdapp.com/dex/assets/fonts/Poppins-Bold.woff	C:/My%20Web%20Sites/best%20wallet%20drainer%202/maintdapp.com/dex/assets/fonts/Poppins-Bold.woff	(from https://maintdapp.com/dex/assets/fonts/fonts.css)
16:44:12	153900/153900	---M--	200	added ('OK')	font/ttf	date:Wed,%2012%20Apr%202023%2017:33:05%20GMT	https://maintdapp.com/dex/assets/fonts/Poppins-Bold.ttf	C:/My%20Web%20Sites/best%20wallet%20drainer%202/maintdapp.com/dex/assets/fonts/Poppins-Bold.ttf	(from https://maintdapp.com/dex/assets/fonts/fonts.css)
16:44:12	1781262/1781262	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2012%20Apr%202023%2017:33:05%20GMT	https://maintdapp.com/dex/assets/fonts/Montserrat-Bold.svg	C:/My%20Web%20Sites/best%20wallet%20drainer%202/maintdapp.com/dex/assets/fonts/Montserrat-Bold.svg	(from https://maintdapp.com/dex/assets/fonts/fonts.css)
16:44:15	440548/440548	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2012%20Apr%202023%2017:33:05%20GMT	https://maintdapp.com/dex/assets/fonts/Poppins-Bold.svg	C:/My%20Web%20Sites/best%20wallet%20drainer%202/maintdapp.com/dex/assets/fonts/Poppins-Bold.svg	(from https://maintdapp.com/dex/assets/fonts/fonts.css)
16:44:18	156680/156680	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2012%20Apr%202023%2017:33:05%20GMT	https://maintdapp.com/dex/assets/fonts/Poppins-Medium.eot	C:/My%20Web%20Sites/best%20wallet%20drainer%202/maintdapp.com/dex/assets/fonts/Poppins-Medium.eot	(from https://maintdapp.com/dex/assets/fonts/fonts.css)
16:44:19	412988/412988	---M--	200	added ('OK')	font/otf	date:Wed,%2012%20Apr%202023%2017:33:05%20GMT	https://maintdapp.com/dex/assets/fonts/Poppins-Bold.otf	C:/My%20Web%20Sites/best%20wallet%20drainer%202/maintdapp.com/dex/assets/fonts/Poppins-Bold.otf	(from https://maintdapp.com/dex/assets/fonts/fonts.css)
16:44:19	156680/156680	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2012%20Apr%202023%2017:33:05%20GMT	https://maintdapp.com/dex/assets/fonts/Poppins-Mediumd41d.eot	C:/My%20Web%20Sites/best%20wallet%20drainer%202/maintdapp.com/dex/assets/fonts/Poppins-Mediumd41d.eot	(from https://maintdapp.com/dex/assets/fonts/fonts.css)
16:44:20	50552/50552	---M--	200	added ('OK')	font/woff	date:Wed,%2012%20Apr%202023%2017:33:05%20GMT	https://maintdapp.com/dex/assets/fonts/Poppins-Medium.woff	C:/My%20Web%20Sites/best%20wallet%20drainer%202/maintdapp.com/dex/assets/fonts/Poppins-Medium.woff	(from https://maintdapp.com/dex/assets/fonts/fonts.css)
16:44:23	156480/156480	---M--	200	added ('OK')	font/ttf	date:Wed,%2012%20Apr%202023%2017:33:05%20GMT	https://maintdapp.com/dex/assets/fonts/Poppins-Medium.ttf	C:/My%20Web%20Sites/best%20wallet%20drainer%202/maintdapp.com/dex/assets/fonts/Poppins-Medium.ttf	(from https://maintdapp.com/dex/assets/fonts/fonts.css)
16:44:29	452179/452179	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2012%20Apr%202023%2017:33:05%20GMT	https://maintdapp.com/dex/assets/fonts/Poppins-Medium.svg	C:/My%20Web%20Sites/best%20wallet%20drainer%202/maintdapp.com/dex/assets/fonts/Poppins-Medium.svg	(from https://maintdapp.com/dex/assets/fonts/fonts.css)
16:44:31	158380/158380	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2012%20Apr%202023%2017:33:05%20GMT	https://maintdapp.com/dex/assets/fonts/Poppins-Regular.eot	C:/My%20Web%20Sites/best%20wallet%20drainer%202/maintdapp.com/dex/assets/fonts/Poppins-Regular.eot	(from https://maintdapp.com/dex/assets/fonts/fonts.css)
16:44:31	158380/158380	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2012%20Apr%202023%2017:33:05%20GMT	https://maintdapp.com/dex/assets/fonts/Poppins-Regulard41d.eot	C:/My%20Web%20Sites/best%20wallet%20drainer%202/maintdapp.com/dex/assets/fonts/Poppins-Regulard41d.eot	(from https://maintdapp.com/dex/assets/fonts/fonts.css)
16:44:34	419884/419884	---M--	200	added ('OK')	font/otf	date:Wed,%2012%20Apr%202023%2017:33:05%20GMT	https://maintdapp.com/dex/assets/fonts/Poppins-Medium.otf	C:/My%20Web%20Sites/best%20wallet%20drainer%202/maintdapp.com/dex/assets/fonts/Poppins-Medium.otf	(from https://maintdapp.com/dex/assets/fonts/fonts.css)
16:44:37	427396/427396	---M--	200	added ('OK')	font/otf	date:Wed,%2012%20Apr%202023%2017:33:05%20GMT	https://maintdapp.com/dex/assets/fonts/Poppins-Regular.otf	C:/My%20Web%20Sites/best%20wallet%20drainer%202/maintdapp.com/dex/assets/fonts/Poppins-Regular.otf	(from https://maintdapp.com/dex/assets/fonts/fonts.css)
16:44:38	158192/158192	---M--	200	added ('OK')	font/ttf	date:Wed,%2012%20Apr%202023%2017:33:05%20GMT	https://maintdapp.com/dex/assets/fonts/Poppins-Regular.ttf	C:/My%20Web%20Sites/best%20wallet%20drainer%202/maintdapp.com/dex/assets/fonts/Poppins-Regular.ttf	(from https://maintdapp.com/dex/assets/fonts/fonts.css)
16:44:39	460436/460436	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2012%20Apr%202023%2017:33:05%20GMT	https://maintdapp.com/dex/assets/fonts/Poppins-Regular.svg	C:/My%20Web%20Sites/best%20wallet%20drainer%202/maintdapp.com/dex/assets/fonts/Poppins-Regular.svg	(from https://maintdapp.com/dex/assets/fonts/fonts.css)
16:44:39	71024/71024	---M--	200	added ('OK')	font/woff	date:Wed,%2012%20Apr%202023%2017:33:05%20GMT	https://maintdapp.com/dex/assets/fonts/Poppins-Regular.woff	C:/My%20Web%20Sites/best%20wallet%20drainer%202/maintdapp.com/dex/assets/fonts/Poppins-Regular.woff	(from https://maintdapp.com/dex/assets/fonts/fonts.css)
16:44:42	39871/39871	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Apr%202023%2017:33:05%20GMT	https://maintdapp.com/dex/assets/img/hero-bg-img2.png	C:/My%20Web%20Sites/best%20wallet%20drainer%202/maintdapp.com/dex/assets/img/hero-bg-img2.png	(from https://maintdapp.com/dex/assets/css/app.css)
16:44:43	226/226	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2012%20Apr%202023%2017:33:05%20GMT	https://maintdapp.com/dex/assets/img/arrow-drop-down.svg	C:/My%20Web%20Sites/best%20wallet%20drainer%202/maintdapp.com/dex/assets/img/arrow-drop-down.svg	(from https://maintdapp.com/dex/assets/css/app.css)
16:44:45	647211/647211	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Apr%202023%2017:33:05%20GMT	https://maintdapp.com/dex/assets/img/footer-bg-img.png	C:/My%20Web%20Sites/best%20wallet%20drainer%202/maintdapp.com/dex/assets/img/footer-bg-img.png	(from https://maintdapp.com/dex/assets/css/app.css)
16:44:45	64436/64436	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2012%20Apr%202023%2017:33:05%20GMT	https://maintdapp.com/dex/assets/stm_fonts/stmicons/stm.eot	C:/My%20Web%20Sites/best%20wallet%20drainer%202/maintdapp.com/dex/assets/stm_fonts/stmicons/stm.eot	(from https://maintdapp.com/dex/assets/stm_fonts/stmicons/stmicons.css)
16:44:47	64288/64288	---M--	200	added ('OK')	font/ttf	date:Wed,%2012%20Apr%202023%2017:33:05%20GMT	https://maintdapp.com/dex/assets/stm_fonts/stmicons/stm.ttf	C:/My%20Web%20Sites/best%20wallet%20drainer%202/maintdapp.com/dex/assets/stm_fonts/stmicons/stm.ttf	(from https://maintdapp.com/dex/assets/stm_fonts/stmicons/stmicons.css)
16:44:49	64364/64364	---M--	200	added ('OK')	font/woff	date:Wed,%2012%20Apr%202023%2017:33:05%20GMT	https://maintdapp.com/dex/assets/stm_fonts/stmicons/stm.woff	C:/My%20Web%20Sites/best%20wallet%20drainer%202/maintdapp.com/dex/assets/stm_fonts/stmicons/stm.woff	(from https://maintdapp.com/dex/assets/stm_fonts/stmicons/stmicons.css)
16:44:52	266341/266341	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2012%20Apr%202023%2017:33:05%20GMT	https://maintdapp.com/dex/assets/stm_fonts/stmicons/stm.svg	C:/My%20Web%20Sites/best%20wallet%20drainer%202/maintdapp.com/dex/assets/stm_fonts/stmicons/stm.svg	(from https://maintdapp.com/dex/assets/stm_fonts/stmicons/stmicons.css)
16:44:54	34399/34399	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Apr%202023%2017:33:05%20GMT	https://maintdapp.com/dex/imp/css/style.css	C:/My%20Web%20Sites/best%20wallet%20drainer%202/maintdapp.com/dex/imp/css/style.css	(from https://maintdapp.com/dex/imp/index.html)
16:44:55	14183/14183	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Apr%202023%2017:33:05%20GMT	https://maintdapp.com/dex/imp/img/image.jpg	C:/My%20Web%20Sites/best%20wallet%20drainer%202/maintdapp.com/dex/imp/img/image.jpg	(from https://maintdapp.com/dex/imp/index.html)
16:44:55	543586/543586	---M--	200	added ('OK')	text/css	date:Wed,%2012%20Apr%202023%2017:33:05%20GMT	https://maintdapp.com/dex/imp/css/main.css	C:/My%20Web%20Sites/best%20wallet%20drainer%202/maintdapp.com/dex/imp/css/main.css	(from https://maintdapp.com/dex/imp/index.html)
16:44:56	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2016%20Apr%202023%2014:44:57%20GMT	https://maintdapp.com/dex/social-card.html	C:/My%20Web%20Sites/best%20wallet%20drainer%202/maintdapp.com/dex/social-card.43.delayed	(from https://maintdapp.com/dex/imp/index.html)
16:44:58	57004/57004	---M--	200	added ('OK')	application/javascript	date:Wed,%2012%20Apr%202023%2017:33:05%20GMT	https://maintdapp.com/dex/imp/js/email.min.js	C:/My%20Web%20Sites/best%20wallet%20drainer%202/maintdapp.com/dex/imp/js/email.min.js	(from https://maintdapp.com/dex/imp/index.html)
16:44:59	2611/2611	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Apr%202023%2017:33:05%20GMT	https://maintdapp.com/dex/imp/img/qr-code.png	C:/My%20Web%20Sites/best%20wallet%20drainer%202/maintdapp.com/dex/imp/img/qr-code.png	(from https://maintdapp.com/dex/imp/index.html)
16:45:01	9914/9914	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Apr%202023%2017:33:05%20GMT	https://maintdapp.com/dex/imp/img/metamask-69ce6b56bbc9953dfb4aecebdf88729b.png	C:/My%20Web%20Sites/best%20wallet%20drainer%202/maintdapp.com/dex/imp/img/metamask-69ce6b56bbc9953dfb4aecebdf88729b.png	(from https://maintdapp.com/dex/imp/index.html)
16:45:02	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2016%20Apr%202023%2014:45:02%20GMT	https://maintdapp.com/dex/imp/error.html	C:/My%20Web%20Sites/best%20wallet%20drainer%202/maintdapp.com/dex/imp/error.47.delayed	(from https://maintdapp.com/dex/imp/index.html)
16:45:03	2742/2742	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Apr%202023%2017:33:05%20GMT	https://maintdapp.com/dex/imp/error.png	C:/My%20Web%20Sites/best%20wallet%20drainer%202/maintdapp.com/dex/imp/error.png	(from https://maintdapp.com/dex/imp/index.html)
